task,model,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,cv_rmse_mean,cv_rmse_std,r2_gap,selection_score
fare,LinearRegression,3.093286837880818,2.690766562025756,1.6000773133649553,1.5813593950459963,0.9127397963645174,0.9429974498233639,3.014411922111613,0.40276044299624136,0.030257653458846456,1.0035127567410567
fare,Ridge,3.093287155739967,2.69082785055058,1.600136171553567,1.5813718452957057,0.9127397784311948,0.9429948530600115,3.0144084668735633,0.40277646991947513,0.030255074628816714,1.0035050023176448
fare,RandomForest,2.1761022669956716,2.710912045600703,0.3925732317276397,0.4939830497712413,0.9568148494791074,0.9421407105438183,2.611192674747971,0.5281525052208024,0.014674138935289127,0.9127924326732401
fare,GradientBoosting,0.9986133792638001,1.9142210255270444,0.35446299713888735,0.5382398588235529,0.9909056723766947,0.9711512894916529,2.3312990224881793,0.521003451252051,0.019754382885041832,0.9316425237215692
fare,XGBoost,1.184070583762691,2.175006543674053,0.39779894735290466,0.5601715458429247,0.987214108381458,0.9627553946175458,2.7399086753927433,0.7148203147684485,0.024458713763912177,0.9138379670897214
fare,LightGBM,2.121622730841927,2.755139177968213,0.5082473138069501,0.5698812478176931,0.9589500951923267,0.9402374216220517,2.7747906531948816,0.6958051743725777,0.01871267357027495,0.9028120744815018
demand,LinearRegression,40.87673220740932,37.30802680966302,31.13369519269928,26.24570935237474,0.5180446700871364,0.521984951898478,3934.643545036243,7755.7412174447945,0.0039402818113416505,0.5298655155211613
demand,Ridge,41.84947436059895,38.37468168343099,31.243029612801262,26.485903216686765,0.4948335929976979,0.49426084298503226,53.79771913122077,18.40800893403637,0.0005727500126656571,0.49311534295970094
demand,RandomForest,13.553185281807567,12.945310593468642,7.921723616348829,8.424258823467465,0.9470169202830439,0.9424477962682679,61.91790648560743,18.31805506560763,0.004569124014775938,0.933309548238716
demand,GradientBoosting,6.740020910971505,14.6179193311727,4.473845706897797,9.423426204669111,0.9868968131038414,0.9266148595006426,60.21598090601371,14.945644319379793,0.06028195360319877,0.8060509522942451
demand,XGBoost,6.493308067389036,12.975894834802425,4.440469833405879,8.410938938458761,0.9878385190567244,0.9421755324604956,46.09016190948213,10.58465196294303,0.045662986596228805,0.850849559268038
demand,LightGBM,11.30121157421162,13.995041503825655,7.205562235227129,8.792772296325166,0.9631612861824259,0.932735581862016,52.206129328286195,23.387233894997934,0.03042570432040992,0.8718841732211962
